통계기준년월,읍면동,차종,계,비사업용 소계,비사업용 경형,비사업용 소형,비사업용 중형,비사업용 대형,사업용 소계,사업용 경형,사업용 소형,사업용 중형,사업용 대형,테이터기준일자
2021-09,살미면,화물,470,463,5,396,46,16,7,0,2,0,5,2021-09-30
2021-09,수안보면,승용,1113,1108,104,32,688,284,5,0,0,4,1,2021-09-30
2021-09,수안보면,승합,78,78,4,3,68,3,0,0,0,0,0,2021-09-30
2021-09,수안보면,화물,468,462,4,399,43,16,6,0,3,1,2,2021-09-30
2021-09,수안보면,특수,2,1,0,1,0,0,1,0,0,1,0,2021-09-30
2021-09,대소원면,승용,7650,4223,520,72,2564,1067,3427,406,0,1415,1606,2021-09-30
2021-09,대소원면,승합,159,159,9,6,133,11,0,0,0,0,0,2021-09-30
2021-09,대소원면,화물,1120,1068,14,836,134,84,52,0,22,14,16,2021-09-30
2021-09,대소원면,특수,24,15,0,10,3,2,9,0,2,2,5,2021-09-30
2021-09,신니면,승용,1170,1166,138,26,685,317,4,0,0,1,3,2021-09-30
2021-09,신니면,승합,58,58,4,1,52,1,0,0,0,0,0,2021-09-30
2021-09,신니면,화물,633,611,6,509,70,26,22,0,7,6,9,2021-09-30
2021-09,신니면,특수,8,5,0,5,0,0,3,0,1,2,0,2021-09-30
2021-09,노은면,승용,902,899,99,20,540,240,3,0,0,3,0,2021-09-30
2021-09,노은면,승합,54,54,4,0,47,3,0,0,0,0,0,2021-09-30
2021-09,노은면,화물,475,462,2,378,67,15,13,0,5,2,6,2021-09-30
2021-09,노은면,특수,8,5,0,5,0,0,3,0,0,0,3,2021-09-30
2021-09,앙성면,승용,1446,1441,146,39,843,413,5,0,0,3,2,2021-09-30
2021-09,앙성면,승합,89,89,4,3,81,1,0,0,0,0,0,2021-09-30
2021-09,앙성면,화물,767,753,14,627,90,22,14,0,6,4,4,2021-09-30
2021-09,앙성면,특수,7,4,0,3,1,0,3,0,0,1,2,2021-09-30
2021-09,중앙탑면,승용,6381,6375,838,79,3793,1665,6,0,0,5,1,2021-09-30
2021-09,중앙탑면,승합,148,148,12,5,126,5,0,0,0,0,0,2021-09-30
2021-09,중앙탑면,화물,914,856,10,723,85,38,58,1,33,9,15,2021-09-30
2021-09,중앙탑면,특수,45,33,0,24,9,0,12,0,3,1,8,2021-09-30
2021-09,금가면,승용,1654,1653,259,24,971,399,1,0,0,1,0,2021-09-30
2021-09,금가면,승합,57,57,4,0,51,2,0,0,0,0,0,2021-09-30
2021-09,금가면,화물,556,544,12,428,80,24,12,0,3,0,9,2021-09-30
2021-09,금가면,특수,8,6,0,5,0,1,2,0,0,0,2,2021-09-30
2021-09,동량면,승용,1438,1428,153,29,835,411,10,0,0,7,3,2021-09-30
2021-09,동량면,승합,74,74,1,1,69,3,0,0,0,0,0,2021-09-30
2021-09,동량면,화물,753,742,8,639,69,26,11,0,2,5,4,2021-09-30
2021-09,동량면,특수,16,14,0,10,0,4,2,0,0,1,1,2021-09-30
2021-09,산척면,승용,852,849,100,18,495,236,3,0,0,2,1,2021-09-30
2021-09,산척면,승합,57,57,0,1,54,2,0,0,0,0,0,2021-09-30
2021-09,산척면,화물,467,455,8,384,44,19,12,0,1,3,8,2021-09-30
2021-09,산척면,특수,5,4,0,4,0,0,1,0,0,0,1,2021-09-30
2021-09,엄정면,승용,1093,1066,130,24,613,299,27,0,0,22,5,2021-09-30
2021-09,엄정면,승합,69,69,3,1,65,0,0,0,0,0,0,2021-09-30
2021-09,엄정면,화물,804,640,5,562,50,23,164,0,19,42,103,2021-09-30
2021-09,엄정면,특수,14,7,0,5,1,1,7,0,1,0,6,2021-09-30
2021-09,소태면,승용,692,687,73,13,396,205,5,0,0,0,5,2021-09-30
2021-09,소태면,승합,37,37,2,2,32,1,0,0,0,0,0,2021-09-30
2021-09,소태면,화물,453,447,7,384,40,16,6,0,2,0,4,2021-09-30
2021-09,소태면,특수,5,4,0,3,0,1,1,0,0,1,0,2021-09-30
